country,region,iso3,avg_score,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption,total_rank_change,total_score_change
Serbia,Europe,SRB,5.465333326975503,1.01610585975647,1.3367299324671433,0.72992822376887,0.2595718427499137,0.16370862793922433,0.04096792686978977,-16,0.42600000000000016
Pakistan,Asia,PAK,5.464666684468587,0.6852945102055866,0.789563563187917,0.4536825943787894,0.29407175385952,0.25048200639088936,0.11178268891572968,-25,0.5209999999999999
Algeria,Africa,DZA,5.45933340581258,1.0242881555557266,1.1534058218002337,0.6965282152493792,0.13211193597316734,0.0658122156659762,0.13169870344797768,50,-1.1439999999999992
Belarus,Europe,BLR,5.4583332557678235,1.0875191866556801,1.46931507205963,0.7089047555923462,0.2791334206263224,0.11671250303586335,0.150771273891131,20,-0.4790000000000001
Turkey,Asia,TUR,5.452,1.1764247913360601,1.3592510588963833,0.7105352025032043,0.2732468665440877,0.0785643473068873,0.1048905266324679,1,-0.016000000000000014
Somalia,Sub-Saharan Africa,SOM,5.44,0,0.33612999999999993,0.11466000000000001,0.5677800000000001,0.27225,0.3118,0,0
Portugal,Europe,PRT,5.4326667238871265,1.2413917649587,1.4090143394470198,0.8929478472073873,0.522821766535441,0.0657009041706721,0.0192898172289133,-28,0.5700000000000003
Hong Kong,Asia,HKG,5.430000000000001,1.4215,1.2835,1.076,0.482,0.252,0.28900000000000003,1,-0.02799999999999958
Montenegro,Europe,MNE,5.368999996185303,1.0630430119832366,1.2927921660741166,0.7558215578397117,0.21699635179837534,0.150303674697876,0.08305806469917297,-15,0.3620000000000001
Turkey,Middle East and Northern Africa,TUR,5.3605,1.11295,0.911745,0.68945,0.23352,0.08480000000000001,0.14047000000000004,2,0.057000000000000384
Indonesia,Southeastern Asia,IDN,5.3565,0.8896550000000001,0.981665,0.565835,0.42924000000000007,0.54028,0.00161,5,-0.08500000000000085
Croatia,Europe,HRV,5.34866674041748,1.1641854111353567,1.13166100247701,0.784096173763275,0.31059076420466103,0.16233432539304102,0.03470103668173154,1,-0.05600000000000005
Latvia,Central and Eastern Europe,LVA,5.329,1.1654999999999998,1.022935,0.681945,0.288335,0.178355,0.07611,-21,0.46199999999999974
Romania,Central and Eastern Europe,ROU,5.325999999999999,1.1065749999999999,0.806955,0.72246,0.3589,0.133185,0.00664,-15,0.4040000000000008
Dominican Republic,Americas,DOM,5.31900000635783,1.0254579455057766,1.4148055686950698,0.6559579151471456,0.5425299445788067,0.13998928324381502,0.10698175106445934,-12,0.27000000000000046
Greece,Europe,GRC,5.290666745503743,1.20816249370575,1.1991381909052534,0.8960663010279337,0.09791041698058447,0,0.04042992563049,-17,0.25399999999999956
North Macedonia,Europe,MKD,5.274,0.983,1.294,0.8380000000000001,0.345,0.185,0.034,0,0
Lebanon,Asia,LBN,5.259999968210856,1.0089958435694368,1.17754141585032,0.778360358874003,0.3358386616706847,0.2148169195652007,0.06683794325590134,-2,0.06799999999999962
Azerbaijan,Central and Eastern Europe,AZE,5.2515,1.07381,0.849175,0.5927450000000001,0.361785,0.067195,0.16989500000000002,1,0.07900000000000063
Jordan,Middle East and Northern Africa,JOR,5.2475,0.949355,0.9580399999999999,0.651755,0.38342,0.126575,0.13795000000000002,-2,0.11100000000000065
China,Asia,CHN,5.23666658782959,1.0330552635192864,1.1426124706268301,0.811138500213623,0.5302625693480174,0.038602280333638196,0.07526475820442041,10,-0.05400000000000027
