year,country,region,rank,score,gdp,social_support,health,freedom,generosity,corruption,rank_change,score_change
2015,Afghanistan,Southern Asia,153,3.5749999999999997,0.31982000000000005,0.30285,0.30335,0.23414000000000001,0.3651,0.09719000000000001,NA,NA
2016,Afghanistan,Southern Asia,154,3.36,0.38227,0.11037,0.17344000000000004,0.1643,0.31268,0.07112000000000002,1,-0.21499999999999986
2017,Afghanistan,Asia,141,3.7939999103546103,0.4014772176742551,0.5815433263778689,0.180746778845787,0.10617952048778502,0.3118709325790411,0.061157830059528406,-13,0.4339999103546104
2018,Afghanistan,Asia,145,3.6319999999999997,0.33199999999999996,0.537,0.255,0.085,0.191,0.036,4,-0.1619999103546106
2019,Afghanistan,Asia,154,3.2030000000000003,0.35,0.517,0.361,0,0.15800000000000003,0.025,9,-0.4289999999999994
2015,Albania,Central and Eastern Europe,95,4.9590000000000005,0.8786700000000002,0.80434,0.81325,0.35733,0.14272,0.06413,NA,NA
2016,Albania,Central and Eastern Europe,109,4.654999999999999,0.9553,0.50163,0.73007,0.31866,0.16840000000000002,0.05301000000000001,14,-0.30400000000000116
2017,Albania,Europe,109,4.644000053405759,0.996192753314972,0.8036852478981021,0.7311597466468811,0.381498634815216,0.20131294429302202,0.0398642159998417,0,-0.010999946594240306
2018,Albania,Europe,112,4.586,0.916,0.8170000000000001,0.7899999999999999,0.41900000000000004,0.14900000000000002,0.032,3,-0.058000053405758756
2019,Albania,Europe,107,4.719,0.9470000000000001,0.8480000000000001,0.8740000000000001,0.383,0.17800000000000002,0.027,-5,0.133
2015,Algeria,Middle East and Northern Africa,68,5.6049999999999995,0.9392900000000001,1.0777199999999998,0.61766,0.28579,0.07822000000000003,0.17383,NA,NA
2016,Algeria,Middle East and Northern Africa,38,6.3549999999999995,1.05266,0.8330900000000001,0.61804,0.21006000000000002,0.07044,0.16157,-30,0.75
2017,Algeria,Africa,53,5.872000217437739,1.0918644666671797,1.1462174654007005,0.6175846457481379,0.23333580791950198,0.06943664699792859,0.14609611034393302,15,-0.4829997825622607
2018,Algeria,Africa,84,5.295,0.979,1.1540000000000001,0.6869999999999999,0.07700000000000001,0.055,0.135,31,-0.5770002174377389
2019,Algeria,Africa,88,5.211,1.002,1.1600000000000001,0.7849999999999999,0.08600000000000001,0.07300000000000001,0.114,4,-0.08399999999999963
2015,Angola,Sub-Saharan Africa,137,4.033,0.75778,0.8604,0.16683,0.10384,0.12344000000000001,0.07122000000000002,NA,NA
2016,Angola,Sub-Saharan Africa,141,3.8659999999999997,0.84731,0.6636599999999999,0.04991,0.00589,0.12071000000000001,0.08434,4,-0.1670000000000007
